key,notes,en,zh-Hans,zh-Hant,ja,ko,fr,de,es
"menu.options","Placeholder translation - needs native review","Options","选项","選項","オプション","옵션","Options","Optionen","Opciones"
"menu.exit","Placeholder translation - needs native review","Exit","离开","離開","終了","나가기","Quitter","Verlassen","Salir"
"gameplay.day","Placeholder translation - needs native review","Day","白昼","白晝","昼","낮","Jour","Tag","Dia"
"gameplay.night","Placeholder translation - needs native review","Night","黑夜","黑夜","夜","밤","Nuit","Nacht","Noche"
"gameplay.wave","Placeholder translation - needs native review","Wave","波次","波次","ウェーブ","공세","Vague","Welle","Oleada"
"gameplay.pause","Placeholder translation - needs native review","Pause","暂停","暫停","一時停止","일시 정지","Pause","Pause","Pausa"
"gameplay.resume","Placeholder translation - needs native review","Resume","继续","繼續","再開","재개","Reprendre","Fortsetzen","Reanudar"
"gameplay.speed_normal","Placeholder translation - needs native review","Normal Speed","正常速度","正常速度","通常速度","보통 속도","Vitesse normale","Normales Tempo","Velocidad normal"
"gameplay.speed_fast","Placeholder translation - needs native review","Fast Speed","快速","快速","高速","빠른 속도","Vitesse rapide","Schnelles Tempo","Velocidad rapida"
"gameplay.speed_pause","Placeholder translation - needs native review","Paused","已暂停","已暫停","停止中","일시 정지됨","En pause","Pausiert","Pausado"
"gameplay.end_turn","Placeholder translation - needs native review","End Turn","结束回合","結束回合","ターン終了","턴 종료","Fin du tour","Zug beenden","Terminar turno"
"gameplay.next_night","Placeholder translation - needs native review","Next Night","进入黑夜","進入黑夜","次の夜へ","다음 밤","Nuit suivante","Naechste Nacht","Siguiente noche"
"card.worker","Placeholder translation - needs native review","Worker","工人","工人","作業員","작업자","Ouvrier","Arbeiter","Trabajador"
"card.engineer","Placeholder translation - needs native review","Engineer","工程师","工程師","エンジニア","기술자","Ingenieur","Ingenieur","Ingeniero"
"card.scrap","Terminology locked for Scrap","Scrap","废料","廢料","スクラップ","고철","Ferraille","Schrott","Chatarra"
"card.circuit","Placeholder translation - needs native review","Circuit","电路","電路","回路","회로","Circuit","Schaltkreis","Circuito"
"card.power_core","Terminology locked for Core","Power Core","能量核心","能量核心","パワーコア","전력 코어","Coeur d energie","Energiekern","Nucleo de energia"
"card.food_ration","Placeholder translation - needs native review","Food Ration","口粮","口糧","食料配給","식량 배급","Ration","Ration","Racion"
"card.shelter","Placeholder translation - needs native review","Shelter","避难所","避難所","シェルター","대피소","Abri","Schutzraum","Refugio"
"card.turret","Placeholder translation - needs native review","Turret","炮塔","砲塔","タレット","포탑","Tourelle","Geschuetz","Torreta"
"card.wall","Placeholder translation - needs native review","Wall","墙体","牆體","壁","벽","Mur","Mauer","Muro"
"card.generator","Placeholder translation - needs native review","Generator","发电机","發電機","発電機","발전기","Generateur","Generator","Generador"
"card.repair_drone","Placeholder translation - needs native review","Repair Drone","维修无人机","維修無人機","修理ドローン","수리 드론","Drone de reparation","Reparaturdrohne","Dron de reparacion"
"card.signal_tower","Placeholder translation - needs native review","Signal Tower","信号塔","訊號塔","信号塔","신호탑","Tour de signal","Signalturm","Torre de senal"
"resource.scrap","Terminology locked for Scrap","Scrap","废料","廢料","スクラップ","고철","Ferraille","Schrott","Chatarra"
"resource.energy","Terminology locked for Energy","Energy","能量","能量","エネルギー","에너지","Energie","Energie","Energia"
"resource.food","Placeholder translation - needs native review","Food","食物","食物","食料","식량","Nourriture","Nahrung","Comida"
"resource.morale","Terminology locked for Morale","Morale","士气","士氣","士気","사기","Moral","Moral","Moral"
"resource.data","Placeholder translation - needs native review","Data","数据","資料","データ","데이터","Donnees","Daten","Datos"
"resource.cores","Terminology locked for Core","Cores","核心","核心","コア","코어","Coeurs","Kerne","Nucleos"
"resource.population","Placeholder translation - needs native review","Population","人口","人口","人口","인구","Population","Bevoelkerung","Poblacion"
"combat.incoming_wave","Placeholder translation - needs native review","Wave inbound","敌潮来袭","敵潮來襲","ウェーブ接近","공세 접근 중","Vague en approche","Welle im Anflug","Oleada entrante"
"combat.enemy_breach","Placeholder translation - needs native review","Breach detected","发现突破口","發現突破口","侵入を検知","침입 감지","Breche detectee","Durchbruch erkannt","Brecha detectada"
"combat.core_under_attack","Terminology locked for Core","Core under attack","核心遭到攻击","核心遭到攻擊","コア攻撃中","코어 공격받는 중","Coeur attaque","Kern unter Angriff","Nucleo bajo ataque"
"combat.victory","Placeholder translation - needs native review","Victory","胜利","勝利","勝利","승리","Victoire","Sieg","Victoria"
"combat.defeat","Placeholder translation - needs native review","Defeat","失败","失敗","敗北","패배","Defaite","Niederlage","Derrota"
"combat.repair_phase","Placeholder translation - needs native review","Repair Phase","维修阶段","維修階段","修理フェーズ","수리 단계","Phase de reparation","Reparaturphase","Fase de reparacion"
"event.blackout","Placeholder translation - needs native review","Blackout","断电","斷電","停電","정전","Panne noire","Stromausfall","Apagon"
"event.system_glitch","Placeholder translation - needs native review","System Glitch","系统故障","系統故障","システム異常","시스템 오류","Defaut systeme","Systemstoerung","Fallo del sistema"
"event.supply_drop","Placeholder translation - needs native review","Supply Drop","补给投放","補給投放","補給投下","보급 투하","Largage de ravitaillement","Nachschubabwurf","Entrega de suministros"
"event.supply_cache","Placeholder translation - needs native review","Supply Cache","补给藏匿点","補給藏匿點","補給庫","보급품 은닉처","Cache de ravitaillement","Nachschublager","Almacen de suministros"
"event.refugees_arrive","Placeholder translation - needs native review","Refugees Arrive","难民抵达","難民抵達","避難民到着","피난민 도착","Refugies arrives","Fluechtlinge kommen an","Llegan refugiados"
"event.machine_whispers","Placeholder translation - needs native review","Machine Whispers","机器低语","機器低語","機械のささやき","기계의 속삭임","Murmures de machine","Maschinenfluestern","Susurros de maquina"
"settings.language_changed","Placeholder translation - needs native review","Language changed","语言已更改","語言已變更","言語を変更しました","언어 변경됨","Langue changee","Sprache geaendert","Idioma cambiado"
"settings.restart_required","Placeholder translation - needs native review","Restart required","需要重启","需要重新啟動","再起動が必要","재시작 필요","Redemarrage requis","Neustart erforderlich","Reinicio requerido"
"settings.fullscreen","Placeholder translation - needs native review","Fullscreen","全屏","全螢幕","全画面","전체 화면","Plein ecran","Vollbild","Pantalla completa"
"settings.resolution","Placeholder translation - needs native review","Resolution","分辨率","解析度","解像度","해상도","Resolution","Aufloesung","Resolucion"
"settings.master_volume","Placeholder translation - needs native review","Master Volume","主音量","主音量","マスター音量","마스터 볼륨","Volume principal","Gesamtlautstaerke","Volumen maestro"
"settings.music_volume","Placeholder translation - needs native review","Music Volume","音乐音量","音樂音量","音楽音量","음악 볼륨","Volume musique","Musiklautstaerke","Volumen de musica"
"settings.sfx_volume","Placeholder translation - needs native review","SFX Volume","音效音量","音效音量","効果音量","효과음 볼륨","Volume SFX","SFX Lautstaerke","Volumen SFX"
"tooltip.morale","Terminology locked for Morale","Morale keeps the bunker moving.","士气让地堡继续运转。","士氣讓地堡繼續運轉。","士気はバンカーを動かし続けます。","사기는 벙커를 계속 움직입니다.","Le moral maintient le bunker.","Moral haelt den Bunker am Laufen.","La moral mantiene el bunker activo."
"tooltip.energy","Terminology locked for Energy","Energy powers machines and defenses.","能量驱动机器和防线。","能量驅動機器和防線。","エネルギーは機械と防衛を動かします。","에너지는 기계와 방어 시설을 가동합니다.","L energie alimente machines et defenses.","Energie versorgt Maschinen und Verteidigung.","La energia alimenta maquinas y defensas."
"tooltip.scrap","Terminology locked for Scrap","Scrap builds almost everything.","废料几乎能建造一切。","廢料幾乎能建造一切。","スクラップはほぼ全ての材料です。","고철은 거의 모든 것을 만듭니다.","La ferraille sert presque partout.","Schrott baut fast alles.","La chatarra construye casi todo."
"tooltip.night_phase","Placeholder translation - needs native review","Night brings pressure and hostile waves.","黑夜会带来压力和敌潮。","黑夜會帶來壓力和敵潮。","夜は圧力と敵の波を運びます。","밤에는 압박과 적 공세가 옵니다.","La nuit apporte pression et vagues hostiles.","Die Nacht bringt Druck und feindliche Wellen.","La noche trae presion y oleadas hostiles."
"tooltip.stack_cards","Placeholder translation - needs native review","Stack cards to combine workers resources and structures.","堆叠卡牌来组合工人、资源与结构。","堆疊卡牌來組合工人、資源與結構。","カードを重ねて作業員、資源、施設を組み合わせます。","카드를 쌓아 작업자와 자원 및 구조물을 결합하세요.","Empilez les cartes pour combiner ouvriers ressources et structures.","Stapelt Karten um Arbeiter Ressourcen und Bauten zu kombinieren.","Apila cartas para combinar trabajadores recursos y estructuras."
"tooltip.defense_grid","Placeholder translation - needs native review","Place defenses to hold the grid.","布置防御来守住网格。","佈置防禦來守住網格。","防衛を配置してグリッドを守ります。","방어를 배치해 격자를 지키세요.","Placez des defenses pour tenir la grille.","Platziert Verteidigung um das Raster zu halten.","Coloca defensas para sostener la cuadricula."
"language.label","Legacy GameLocalization compatibility row. Keep until all direct GameLocalization.Get calls are migrated.","Language: {0}","语言：{0}","語言：{0}","言語：{0}","언어: {0}","Langue : {0}","Sprache: {0}","Idioma: {0}"
"language.chinese","Legacy GameLocalization compatibility row. Keep until all direct GameLocalization.Get calls are migrated.","Simplified Chinese","简体中文","簡體中文","簡体字中国語","중국어 간체","chinois simplifie","Vereinfachtes Chinesisch","chino simplificado"
"language.english","Legacy GameLocalization compatibility row. Keep until all direct GameLocalization.Get calls are migrated.","English","英语","英語","英語","영어","anglais","Englisch","ingles"
"language.traditionalChinese","Legacy GameLocalization compatibility row. Keep until all direct GameLocalization.Get calls are migrated.","Traditional Chinese","繁体中文","繁體中文","繁体字中国語","중국어 번체","chinois traditionnel","Traditionelles Chinesisch","chino tradicional"
"language.japanese","Legacy GameLocalization compatibility row. Keep until all direct GameLocalization.Get calls are migrated.","Japanese","日语","日語","日本語","일본어","japonais","Japanisch","japones"
"language.korean","Legacy GameLocalization compatibility row. Keep until all direct GameLocalization.Get calls are migrated.","Korean","韩语","韓語","韓国語","한국어","coreen","Koreanisch","coreano"
"language.french","Legacy GameLocalization compatibility row. Keep until all direct GameLocalization.Get calls are migrated.","French","法语","法語","フランス語","프랑스어","francais","Franzoesisch","frances"
"language.german","Legacy GameLocalization compatibility row. Keep until all direct GameLocalization.Get calls are migrated.","German","德语","德語","ドイツ語","독일어","allemand","Deutsch","aleman"
"language.spanish","Legacy GameLocalization compatibility row. Keep until all direct GameLocalization.Get calls are migrated.","Spanish","西班牙语","西班牙語","スペイン語","스페인어","espagnol","Spanisch","espanol"
"title.newGame","Legacy GameLocalization compatibility row. Keep until all direct GameLocalization.Get calls are migrated.","New Game","新游戏","New Game","New Game","New Game","New Game","New Game","New Game"
"title.loadGame","Legacy GameLocalization compatibility row. Keep until all direct GameLocalization.Get calls are migrated.","Load Game","载入游戏","Load Game","Load Game","Load Game","Load Game","Load Game","Load Game"
"title.options","Legacy GameLocalization compatibility row. Keep until all direct GameLocalization.Get calls are migrated.","Options","运行设置","Options","Options","Options","Options","Options","Options"
"title.quitGame","Legacy GameLocalization compatibility row. Keep until all direct GameLocalization.Get calls are migrated.","Quit Game","退出游戏","Quit Game","Quit Game","Quit Game","Quit Game","Quit Game","Quit Game"
"title.quitConfirmTitle","Legacy GameLocalization compatibility row. Keep until all direct GameLocalization.Get calls are migrated.","Quit Game","退出游戏","Quit Game","Quit Game","Quit Game","Quit Game","Quit Game","Quit Game"
"title.quitConfirmBody","Legacy GameLocalization compatibility row. Keep until all direct GameLocalization.Get calls are migrated.","Are you sure you want to quit?","确认要退出游戏吗？","Are you sure you want to quit?","Are you sure you want to quit?","Are you sure you want to quit?","Are you sure you want to quit?","Are you sure you want to quit?","Are you sure you want to quit?"
"title.versionDraft","Legacy GameLocalization compatibility row. Keep until all direct GameLocalization.Get calls are migrated.","Version: Unreleased","版本：未发布","Version: Unreleased","Version: Unreleased","Version: Unreleased","Version: Unreleased","Version: Unreleased","Version: Unreleased"
"title.loadHeader","Legacy GameLocalization compatibility row. Keep until all direct GameLocalization.Get calls are migrated.","Load Saves","读取存档","Load Saves","Load Saves","Load Saves","Load Saves","Load Saves","Load Saves"
"title.gameplayHeader","Legacy GameLocalization compatibility row. Keep until all direct GameLocalization.Get calls are migrated.","Game Setup","生存偏好设置","Game Setup","Game Setup","Game Setup","Game Setup","Game Setup","Game Setup"
"title.clearSaves","Title screen saved games panel clear-all button","Delete All Saves","清除全部存档","清除全部存檔","全セーブを削除","전체 저장 삭제","Supprimer toutes les sauvegardes","Alle Speicherstaende loeschen","Eliminar todas las partidas"
"pause.header","Legacy GameLocalization compatibility row. Keep until all direct GameLocalization.Get calls are migrated.","Paused","已暂停","Paused","Paused","Paused","Paused","Paused","Paused"
"pause.resume","Legacy GameLocalization compatibility row. Keep until all direct GameLocalization.Get calls are migrated.","Resume","继续游戏","Resume","Resume","Resume","Resume","Resume","Resume"
"pause.save","Placeholder translation - needs native review","Save Game","保存游戏","Save Game","Save Game","Save Game","Save Game","Save Game","Save Game"
"pause.backToTitle","Back to Title button label used in pause menu and defeat screen","Back to Title","返回主菜单","返回主選單","タイトルに戻る","타이틀로 돌아가기","Retour au titre","Zurueck zum Titel","Volver al titulo"
"menu.quests","Legacy GameLocalization compatibility row. Keep until all direct GameLocalization.Get calls are migrated.","Quests","任务","Quests","Quests","Quests","Quests","Quests","Quests"
"menu.blueprints","Legacy GameLocalization compatibility row. Keep until all direct GameLocalization.Get calls are migrated.","Blueprints","蓝图","Blueprints","Blueprints","Blueprints","Blueprints","Blueprints","Blueprints"
"menu.infoPlaceholder","Legacy GameLocalization compatibility row. Keep until all direct GameLocalization.Get calls are migrated.","<size=34>[Intel Panel]<size=30>
Information appears here.
The panel resizes to fit the text.","<size=34>[情报面板]<size=30>
信息会显示在这里。
面板会根据文本长度自动调整尺寸。","<size=34>[Intel Panel]<size=30>
Information appears here.
The panel resizes to fit the text.","<size=34>[Intel Panel]<size=30>
Information appears here.
The panel resizes to fit the text.","<size=34>[Intel Panel]<size=30>
Information appears here.
The panel resizes to fit the text.","<size=34>[Intel Panel]<size=30>
Information appears here.
The panel resizes to fit the text.","<size=34>[Intel Panel]<size=30>
Information appears here.
The panel resizes to fit the text.","<size=34>[Intel Panel]<size=30>
Information appears here.
The panel resizes to fit the text."
"ui.action","Legacy GameLocalization compatibility row. Keep until all direct GameLocalization.Get calls are migrated.","Run Action","执行动作","Run Action","Run Action","Run Action","Run Action","Run Action","Run Action"
"ui.footer","Legacy GameLocalization compatibility row. Keep until all direct GameLocalization.Get calls are migrated.","Last Kernel Fortress District Prototype / Markyu","Last Kernel 堡垒街区试作 / 作者 Markyu","Last Kernel Fortress District Prototype / Markyu","Last Kernel Fortress District Prototype / Markyu","Last Kernel Fortress District Prototype / Markyu","Last Kernel Fortress District Prototype / Markyu","Last Kernel Fortress District Prototype / Markyu","Last Kernel Fortress District Prototype / Markyu"
"night.incursionTitle","Legacy GameLocalization compatibility row. Keep until all direct GameLocalization.Get calls are migrated.","Night Incursion","夜间入侵","Night Incursion","Night Incursion","Night Incursion","Night Incursion","Night Incursion","Night Incursion"
"night.startBody","Legacy GameLocalization compatibility row. Keep until all direct GameLocalization.Get calls are migrated.","{0}

{1}

{2} defender(s) deployed against {3} enemy unit(s).","{0}

{1}

部署了 {2} 名防守者，对抗 {3} 名敌人。","{0}

{1}

{2} defender(s) deployed against {3} enemy unit(s).","{0}

{1}

{2} defender(s) deployed against {3} enemy unit(s).","{0}

{1}

{2} defender(s) deployed against {3} enemy unit(s).","{0}

{1}

{2} defender(s) deployed against {3} enemy unit(s).","{0}

{1}

{2} defender(s) deployed against {3} enemy unit(s).","{0}

{1}

{2} defender(s) deployed against {3} enemy unit(s)."
"night.resultVictory","Legacy GameLocalization compatibility row. Keep until all direct GameLocalization.Get calls are migrated.","Wave Repelled","敌潮已击退","Wave Repelled","Wave Repelled","Wave Repelled","Wave Repelled","Wave Repelled","Wave Repelled"
"night.resultDefeat","Legacy GameLocalization compatibility row. Keep until all direct GameLocalization.Get calls are migrated.","Defenses Breached","防线被突破","Defenses Breached","Defenses Breached","Defenses Breached","Defenses Breached","Defenses Breached","Defenses Breached"
"night.undefendedTitle","Legacy GameLocalization compatibility row. Keep until all direct GameLocalization.Get calls are migrated.","Undefended","无人防守","Undefended","Undefended","Undefended","Undefended","Undefended","Undefended"
"night.undefendedBody","Legacy GameLocalization compatibility row. Keep until all direct GameLocalization.Get calls are migrated.","No defenders were available. The incursion struck unchallenged.","没有可用防守者。入侵未受阻拦地袭来。","No defenders were available. The incursion struck unchallenged.","No defenders were available. The incursion struck unchallenged.","No defenders were available. The incursion struck unchallenged.","No defenders were available. The incursion struck unchallenged.","No defenders were available. The incursion struck unchallenged.","No defenders were available. The incursion struck unchallenged."
"night.summaryWaveRepelled","Legacy GameLocalization compatibility row. Keep until all direct GameLocalization.Get calls are migrated.","Wave repelled. {0}/{1} enemies destroyed.","敌潮已击退。已摧毁 {0}/{1} 名敌人。","Wave repelled. {0}/{1} enemies destroyed.","Wave repelled. {0}/{1} enemies destroyed.","Wave repelled. {0}/{1} enemies destroyed.","Wave repelled. {0}/{1} enemies destroyed.","Wave repelled. {0}/{1} enemies destroyed.","Wave repelled. {0}/{1} enemies destroyed."
"night.summaryDefendersLost","Legacy GameLocalization compatibility row. Keep until all direct GameLocalization.Get calls are migrated.","{0} defender(s) lost.","损失 {0} 名防守者。","{0} defender(s) lost.","{0} defender(s) lost.","{0} defender(s) lost.","{0} defender(s) lost.","{0} defender(s) lost.","{0} defender(s) lost."
"night.summaryNoCasualties","Legacy GameLocalization compatibility row. Keep until all direct GameLocalization.Get calls are migrated.","No casualties.","无伤亡。","No casualties.","No casualties.","No casualties.","No casualties.","No casualties.","No casualties."
"night.summaryDefensesBreached","Legacy GameLocalization compatibility row. Keep until all direct GameLocalization.Get calls are migrated.","Defenses breached. {0}/{1} defender(s) lost.","防线被突破。损失 {0}/{1} 名防守者。","Defenses breached. {0}/{1} defender(s) lost.","Defenses breached. {0}/{1} defender(s) lost.","Defenses breached. {0}/{1} defender(s) lost.","Defenses breached. {0}/{1} defender(s) lost.","Defenses breached. {0}/{1} defender(s) lost.","Defenses breached. {0}/{1} defender(s) lost."
"night.summaryEnemiesDestroyedBeforeBreach","Legacy GameLocalization compatibility row. Keep until all direct GameLocalization.Get calls are migrated.","{0}/{1} enemies destroyed before breach.","突破前摧毁了 {0}/{1} 名敌人。","{0}/{1} enemies destroyed before breach.","{0}/{1} enemies destroyed before breach.","{0}/{1} enemies destroyed before breach.","{0}/{1} enemies destroyed before breach.","{0}/{1} enemies destroyed before breach.","{0}/{1} enemies destroyed before breach."
"night.laneHeader","Legacy GameLocalization compatibility row. Keep until all direct GameLocalization.Get calls are migrated.","NIGHT INCURSION","夜间入侵","NIGHT INCURSION","NIGHT INCURSION","NIGHT INCURSION","NIGHT INCURSION","NIGHT INCURSION","NIGHT INCURSION"
"night.laneVersus","Legacy GameLocalization compatibility row. Keep until all direct GameLocalization.Get calls are migrated.","VS","对抗","VS","VS","VS","VS","VS","VS"
"night.laneDefenders","Legacy GameLocalization compatibility row. Keep until all direct GameLocalization.Get calls are migrated.","DEFENDERS","防守者","DEFENDERS","DEFENDERS","DEFENDERS","DEFENDERS","DEFENDERS","DEFENDERS"
"night.laneEnemies","Legacy GameLocalization compatibility row. Keep until all direct GameLocalization.Get calls are migrated.","ENEMIES","敌人","ENEMIES","ENEMIES","ENEMIES","ENEMIES","ENEMIES","ENEMIES"
"night.laneDead","Legacy GameLocalization compatibility row. Keep until all direct GameLocalization.Get calls are migrated.","DEAD","倒下","DEAD","DEAD","DEAD","DEAD","DEAD","DEAD"
"stat.maxHealth","Legacy GameLocalization compatibility row. Keep until all direct GameLocalization.Get calls are migrated.","Max Health","最大生命值","Max Health","Max Health","Max Health","Max Health","Max Health","Max Health"
"stat.attack","Legacy GameLocalization compatibility row. Keep until all direct GameLocalization.Get calls are migrated.","Attack","攻击","Attack","Attack","Attack","Attack","Attack","Attack"
"stat.defense","Legacy GameLocalization compatibility row. Keep until all direct GameLocalization.Get calls are migrated.","Defense","防御","Defense","Defense","Defense","Defense","Defense","Defense"
"stat.attackSpeed","Legacy GameLocalization compatibility row. Keep until all direct GameLocalization.Get calls are migrated.","Attack Speed","攻击速度","Attack Speed","Attack Speed","Attack Speed","Attack Speed","Attack Speed","Attack Speed"
"stat.accuracy","Legacy GameLocalization compatibility row. Keep until all direct GameLocalization.Get calls are migrated.","Accuracy","命中率","Accuracy","Accuracy","Accuracy","Accuracy","Accuracy","Accuracy"
"stat.dodge","Legacy GameLocalization compatibility row. Keep until all direct GameLocalization.Get calls are migrated.","Dodge","闪避","Dodge","Dodge","Dodge","Dodge","Dodge","Dodge"
"stat.criticalChance","Legacy GameLocalization compatibility row. Keep until all direct GameLocalization.Get calls are migrated.","Crit. Chance","暴击率","Crit. Chance","Crit. Chance","Crit. Chance","Crit. Chance","Crit. Chance","Crit. Chance"
"stat.criticalMultiplier","Legacy GameLocalization compatibility row. Keep until all direct GameLocalization.Get calls are migrated.","Crit. Multiplier","暴击倍率","Crit. Multiplier","Crit. Multiplier","Crit. Multiplier","Crit. Multiplier","Crit. Multiplier","Crit. Multiplier"
"common.confirmButton","Shared confirm action button label","Confirm","确认","確認","確定","확인","Confirmer","Bestaetigen","Confirmar"
"common.cancelButton","Shared cancel action button label","Cancel","取消","取消","キャンセル","취소","Annuler","Abbrechen","Cancelar"
"common.closeButton","Shared close / dismiss button label","Close","关闭","關閉","閉じる","닫기","Fermer","Schliessen","Cerrar"
"common.resetButton","Shared reset-to-defaults button label","Reset All","重置全部","重置全部","全てリセット","전체 초기화","Tout reinitialiser","Alles zuruecksetzen","Restablecer todo"
"common.loadButton","Shared load button label","Load","读取","讀取","ロード","불러오기","Charger","Laden","Cargar"
"common.deleteButton","Shared delete button label","Delete","删除","刪除","削除","삭제","Supprimer","Loeschen","Eliminar"
"options.header","Legacy GameLocalization compatibility row. Keep until all direct GameLocalization.Get calls are migrated.","Options","运行设置","Options","Options","Options","Options","Options","Options"
"options.sfx","Legacy GameLocalization compatibility row. Keep until all direct GameLocalization.Get calls are migrated.","SFX {0}%","音效 {0}%","SFX {0}%","SFX {0}%","SFX {0}%","SFX {0}%","SFX {0}%","SFX {0}%"
"options.bgm","Legacy GameLocalization compatibility row. Keep until all direct GameLocalization.Get calls are migrated.","BGM {0}%","背景音乐 {0}%","BGM {0}%","BGM {0}%","BGM {0}%","BGM {0}%","BGM {0}%","BGM {0}%"
"options.resetTitle","Legacy GameLocalization compatibility row. Keep until all direct GameLocalization.Get calls are migrated.","Reset Settings?","重置系统设置？","Reset Settings?","Reset Settings?","Reset Settings?","Reset Settings?","Reset Settings?","Reset Settings?"
"options.resetBody","Legacy GameLocalization compatibility row. Keep until all direct GameLocalization.Get calls are migrated.","This resets all graphics and audio settings to their defaults and cannot be undone.","这会把全部图形与音频参数恢复为默认值，且无法撤销。","This resets all graphics and audio settings to their defaults and cannot be undone.","This resets all graphics and audio settings to their defaults and cannot be undone.","This resets all graphics and audio settings to their defaults and cannot be undone.","This resets all graphics and audio settings to their defaults and cannot be undone.","This resets all graphics and audio settings to their defaults and cannot be undone.","This resets all graphics and audio settings to their defaults and cannot be undone."
"gameplay.dayDuration","Legacy GameLocalization compatibility row. Keep until all direct GameLocalization.Get calls are migrated.","Day Length: {0}s","白昼时长：{0} 秒","Day Length: {0}s","Day Length: {0}s","Day Length: {0}s","Day Length: {0}s","Day Length: {0}s","Day Length: {0}s"
"gameplay.friendlyOn","Legacy GameLocalization compatibility row. Keep until all direct GameLocalization.Get calls are migrated.","Friendly Mode: On
<size=23>(Hostile targets will not appear)","友好模式：开启
<size=23>（敌对目标不会出现）","Friendly Mode: On
<size=23>(Hostile targets will not appear)","Friendly Mode: On
<size=23>(Hostile targets will not appear)","Friendly Mode: On
<size=23>(Hostile targets will not appear)","Friendly Mode: On
<size=23>(Hostile targets will not appear)","Friendly Mode: On
<size=23>(Hostile targets will not appear)","Friendly Mode: On
<size=23>(Hostile targets will not appear)"
"gameplay.friendlyOff","Legacy GameLocalization compatibility row. Keep until all direct GameLocalization.Get calls are migrated.","Friendly Mode: Off
<size=23>(Hostile targets may appear)","友好模式：关闭
<size=23>（敌对目标可能出现）","Friendly Mode: Off
<size=23>(Hostile targets may appear)","Friendly Mode: Off
<size=23>(Hostile targets may appear)","Friendly Mode: Off
<size=23>(Hostile targets may appear)","Friendly Mode: Off
<size=23>(Hostile targets may appear)","Friendly Mode: Off
<size=23>(Hostile targets may appear)","Friendly Mode: Off
<size=23>(Hostile targets may appear)"
"save.clearTitle","Legacy GameLocalization compatibility row. Keep until all direct GameLocalization.Get calls are migrated.","Delete All Saves?","清除全部存档？","Delete All Saves?","Delete All Saves?","Delete All Saves?","Delete All Saves?","Delete All Saves?","Delete All Saves?"
"save.clearBody","Legacy GameLocalization compatibility row. Keep until all direct GameLocalization.Get calls are migrated.","Are you sure you want to delete all save files?
This action cannot be undone.","确认要删除全部存档吗？
此操作无法撤销。","Are you sure you want to delete all save files?
This action cannot be undone.","Are you sure you want to delete all save files?
This action cannot be undone.","Are you sure you want to delete all save files?
This action cannot be undone.","Are you sure you want to delete all save files?
This action cannot be undone.","Are you sure you want to delete all save files?
This action cannot be undone.","Are you sure you want to delete all save files?
This action cannot be undone."
"save.deleteTitle","Legacy GameLocalization compatibility row. Keep until all direct GameLocalization.Get calls are migrated.","Delete Save?","删除存档？","Delete Save?","Delete Save?","Delete Save?","Delete Save?","Delete Save?","Delete Save?"
